"ANO","NOME","GP","PODIUMS","EQUIPE","POLE_POSITIONS"
"2000","Rubens Barrichello","17","9","Ferrari","1"
"2001","Rubens Barrichello","17","10","Ferrari","0"
"2002","Rubens Barrichello","15","10","Ferrari","3"
"2003","Rubens Barrichello","16","8","Ferrari","3"
"2004","Rubens Barrichello","18","14","Ferrari","4"
"2005","Rubens Barrichello","19","4","Ferrari","0"
"2006","Rubens Barrichello","18","0","Honda","0"
"2007","Rubens Barrichello","17","0","Honda","0"
"2008","Rubens Barrichello","18","1","Honda","0"
"2009","Rubens Barrichello","17","6","Mercedes","1"
"2010","Rubens Barrichello","19","0","Williams","0"
"2011","Rubens Barrichello","19","0","Williams","0"
